band,paradigm,good_lemma,bad_lemma,bad_active_class,n_frames,good_lemma_zipf,bad_lemma_zipf,mean_lemma_zipf,mean_form_zipf,mean_margin,accuracy,verb_margin,suffix_margin,by_margin,good_verb_tokens,bad_verb_tokens
tail,passive_2,blurt,stagnate,released_inventory,2,2.48,2.49,2.4850000000000003,2.635,3.9274037157883868,1.0,6.2947560822358355,-2.3673523664474487,0.0,3,2
tail,passive_2,bribe,correspond,released_inventory,2,3.5,3.5,3.5,3.045,9.64696128317155,1.0,7.857487213099375,1.789474070072174,0.0,2,1
tail,passive_2,christen,dwindle,released_inventory,2,2.63,2.61,2.62,2.92,8.93192872533109,1.0,9.092287392704748,-0.16035866737365723,0.0,2,3
tail,passive_2,coerce,emigrate,released_inventory,2,2.86,2.89,2.875,3.115,8.804204464016948,1.0,6.207747697888408,2.59645676612854,0.0,3,2
tail,passive_2,commemorate,brag,released_inventory,2,3.49,3.49,3.49,2.92,8.181492937728763,1.0,7.863067282363772,0.31842565536499023,0.0,2,2
tail,passive_2,deter,flirt,released_inventory,2,3.48,3.52,3.5,2.87,12.814160495996475,1.0,7.814336270093918,4.999824225902557,0.0,2,3
tail,passive_2,dice,cooperate,released_inventory,2,3.76,3.79,3.775,3.06,10.969097673892975,1.0,10.52764505147934,0.44145262241363525,0.0,1,2
tail,passive_2,dope,bargain,released_inventory,2,3.9,3.95,3.925,2.895,8.676317930221558,1.0,6.185184717178345,2.491133213043213,0.0,1,2
tail,passive_2,duck,dawn,released_inventory,2,4.21,4.27,4.24,3.0199999999999996,2.8364602364599705,1.0,0.731398943811655,2.1050612926483154,0.0,2,2
tail,passive_2,eschew,languish,released_inventory,2,2.57,2.55,2.5599999999999996,2.505,4.8356191189959645,1.0,4.961358574219048,-0.1257394552230835,0.0,3,3
tail,passive_2,evade,inquire,released_inventory,2,3.39,3.38,3.385,2.9400000000000004,1.0979453325271606,0.5,-1.679401159286499,2.7773464918136597,0.0,2,1
tail,passive_2,exert,slump,released_inventory,2,3.36,3.36,3.36,3.0599999999999996,8.076915860176086,1.0,10.85685133934021,-2.7799354791641235,0.0,1,2
tail,passive_2,fleece,vie,released_inventory,2,3.36,3.35,3.355,2.43,7.4680726560764015,1.0,3.2092957529239357,4.258776903152466,0.0,2,2
tail,passive_2,forest,function,released_inventory,2,4.7,4.78,4.74,3.05,7.37279705889523,1.0,4.1793431509286165,3.1934539079666138,0.0,2,2
tail,passive_2,gag,blossom,released_inventory,2,3.63,3.62,3.625,2.9,10.704595107585192,1.0,9.949816484004259,0.7547786235809326,0.0,2,2
tail,passive_2,galvanize,transpire,released_inventory,2,2.31,2.36,2.335,3.04,12.643198929959908,1.0,11.022296451264992,1.6209024786949158,0.0,3,2
tail,passive_2,garnish,toil,released_inventory,2,3.04,3.03,3.035,2.625,6.8933147066272795,1.0,9.315557348076254,-2.4222426414489746,0.0,2,2
