paradigm,metric,removed_band,removed_good_lemma,removed_bad_lemma,baseline_difference,after_difference,sign_change
passive_2,accuracy,xtail,blaspheme,seethe,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,clout,grouse,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,crate,lumber,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,daub,resound,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,debug,tingle,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,disabuse,sidle,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,disgorge,exult,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,disquiet,goggle,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,doff,salivate,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,edify,toddle,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,espy,scram,0.040000000000000036,0.020408163265306145,0
passive_2,accuracy,xtail,extirpate,vegetate,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,filch,smolder,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,garland,banter,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,gull,desist,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,guzzle,commiserate,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,heft,hibernate,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,immolate,vacillate,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,incriminate,sulk,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,lard,fizz,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,lather,slouch,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,lug,drool,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,mistrust,coexist,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,mulch,bustle,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,obviate,teem,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,ogle,wallow,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,outshine,gape,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,perm,fawn,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,pigeonhole,hitchhike,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,placate,crackle,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,prise,jut,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,rearm,totter,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,recompense,leer,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,redress,pant,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,regale,writhe,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,reproach,whiz,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,reprove,remonstrate,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,resupply,slog,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,shoo,quiver,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,shoplift,eventuate,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,stopper,quack,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,suckle,defecate,0.040000000000000036,0.030612244897959218,0
passive_2,accuracy,xtail,sunder,eavesdrop,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,swaddle,decamp,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,tithe,putter,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,unlatch,burgeon,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,wad,shimmer,0.040000000000000036,0.030612244897959218,0
passive_2,accuracy,xtail,wag,bask,0.040000000000000036,0.04081632653061229,0
passive_2,accuracy,xtail,wallop,gloat,0.040000000000000036,0.04081632653061229,0
