regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
tail,inchoative,good_to_bad,resid_post_layer_16,17,13,2.9903846704042873,3.30769236271198,0.9942115341049207,-2.6971154029552755,0.29326926744901216,0.3221153662754939
tail,inchoative,good_to_bad,resid_post_layer_20,21,13,3.0048077289874735,3.302884652064397,0.9899169156529427,-2.6971154029552755,0.30769232603219837,0.3221153662754939
tail,inchoative,bad_to_good,resid_post_layer_16,17,13,2.985576895567087,3.293269239939176,0.9875740848523784,-0.3221153662754939,2.6634615109517026,2.6971154029552755
tail,inchoative,good_to_bad,resid_post_layer_19,20,13,2.995192344372089,3.293269230769231,0.9843708298114939,-2.6971154029552755,0.2980769414168138,0.3221153662754939
tail,inchoative,bad_to_good,resid_post_layer_20,21,13,2.975961547631484,3.2932692032593947,0.9948364776876292,-0.3221153662754939,2.65384618135599,2.6971154029552755
tail,inchoative,bad_to_good,resid_post_layer_19,20,13,2.9807691940894494,3.2884615384615383,0.9898633979504101,-0.3221153662754939,2.6586538278139553,2.6971154029552755
xtail,inchoative,good_to_bad,resid_post_layer_23,24,7,2.803571496691023,3.000000068119594,1.416305885144876,-2.2589286225182668,0.5446428912026542,0.044642891202654154
xtail,causative,good_to_bad,resid_post_layer_23,24,10,2.6687499046325684,3.0,1.3941650895390196,3.731250047683716,6.399999952316284,6.2375
xtail,causative,bad_to_good,resid_post_layer_23,24,10,2.509375,2.871875,0.9197511947735343,-6.2375,-3.728125,-3.731250047683716
xtail,causative,good_to_bad,resid_post_layer_19,20,10,2.512499976158142,2.843750023841858,1.0204138188899092,3.731250047683716,6.243750023841858,6.2375
xtail,causative,good_to_bad,resid_post_layer_16,17,10,2.5499999046325685,2.8375,0.8291416395071405,3.731250047683716,6.281249952316284,6.2375
xtail,causative,good_to_bad,resid_post_layer_20,21,10,2.5187499046325685,2.8375,1.0483386601198195,3.731250047683716,6.249999952316284,6.2375
xtail,causative,good_to_bad,resid_post_layer_22,23,10,2.512499952316284,2.8187500476837157,1.05,3.731250047683716,6.24375,6.2375
xtail,causative,bad_to_good,resid_post_layer_16,17,10,2.51875,2.81875,1.03666527811704,-6.2375,-3.71875,-3.731250047683716
xtail,causative,good_to_bad,resid_post_layer_21,22,10,2.503124952316284,2.809375047683716,0.9904545454545455,3.731250047683716,6.234375,6.2375
xtail,causative,bad_to_good,resid_post_layer_21,22,10,2.4875,2.79375,0.9927600270251264,-6.2375,-3.750000023841858,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_19,20,10,2.5062500476837157,2.793749952316284,0.988020561893484,-6.2375,-3.731249976158142,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_20,21,10,2.5062500476837157,2.793749952316284,0.9974786226297402,-6.2375,-3.731249952316284,-3.731250047683716
xtail,causative,bad_to_good,resid_post_layer_22,23,10,2.4875,2.7875,0.9888332840778975,-6.2375,-3.75,-3.731250047683716
xtail,inchoative,bad_to_good,resid_post_layer_16,17,7,2.3482143538338796,2.544642925262451,1.051530529446803,-0.044642891202654154,2.3035714626312256,2.2589286225182668
xtail,inchoative,bad_to_good,resid_post_layer_21,22,7,2.3482142857142856,2.5089285714285716,1.016297688352034,-0.044642891202654154,2.3035714285714284,2.2589286225182668
xtail,inchoative,good_to_bad,resid_post_layer_19,20,7,2.294642908232553,2.491071479661124,1.030612233776399,-2.2589286225182668,0.03571428571428571,0.044642891202654154
xtail,inchoative,good_to_bad,resid_post_layer_20,21,7,2.294642908232553,2.491071479661124,1.030612233776399,-2.2589286225182668,0.03571428571428571,0.044642891202654154
xtail,inchoative,bad_to_good,resid_post_layer_19,20,7,2.330357159887041,2.491071445601327,0.9915023855272583,-0.044642891202654154,2.2857143027441844,2.2589286225182668
xtail,inchoative,bad_to_good,resid_post_layer_22,23,7,2.303571496691023,2.482142925262451,0.9999999283234653,-0.044642891202654154,2.2589286054883684,2.2589286225182668
xtail,inchoative,good_to_bad,resid_post_layer_22,23,7,2.303571445601327,2.4821428741727556,1.0020407384756085,-2.2589286225182668,0.044642823083060126,0.044642891202654154
xtail,inchoative,bad_to_good,resid_post_layer_20,21,7,2.321428554398673,2.482142840112959,0.9889512872681728,-0.044642891202654154,2.2767856972558156,2.2589286225182668
xtail,inchoative,good_to_bad,resid_post_layer_21,22,7,2.3125000170298984,2.4732143027441844,0.9877550241898941,-2.2589286225182668,0.05357139451163156,0.044642891202654154
xtail,inchoative,good_to_bad,resid_post_layer_16,17,7,2.3214286225182668,2.46428576537541,0.9913265194906845,-2.2589286225182668,0.06249996594020298,0.044642891202654154
xtail,inchoative,bad_to_good,resid_post_layer_23,24,7,2.2767857142857144,2.455357142857143,0.8729626325705013,-0.044642891202654154,2.232142857142857,2.2589286225182668
