regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
tail,intransitive,bad_to_good,resid_post_layer_16,17,11,4.582386363636363,4.582386363636363,0.9908679739358259,-2.5795454545454546,2.002840909090909,2.03125
tail,intransitive,bad_to_good,resid_post_layer_18,19,11,4.582386363636363,4.582386363636363,0.9926454314509884,-2.5795454545454546,2.002840822393244,2.03125
tail,intransitive,good_to_bad,resid_post_layer_18,19,11,4.576704545454546,4.576704545454546,0.9884822237019656,-2.03125,2.545454502105713,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_16,17,11,4.5710227272727275,4.5710227272727275,0.983239433124957,-2.03125,2.53977277062156,2.5795454545454546
xtail,intransitive,bad_to_good,resid_post_layer_21,22,9,3.2152777512868247,3.256944417953491,1.0007170774361545,-1.7361110581292047,1.47916669315762,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_22,23,9,3.229166587193807,3.256944417953491,0.9660442359597814,-1.7361110581292047,1.4930555290646024,1.472222195731269
xtail,intransitive,good_to_bad,resid_post_layer_20,21,9,3.2222222487131753,3.2500000264909534,0.9646751087463442,-1.472222195731269,1.7500000264909532,1.7361110581292047
xtail,intransitive,bad_to_good,resid_post_layer_18,19,9,3.222222169240316,3.25,0.9622789232475947,-1.7361110581292047,1.4861111111111112,1.472222195731269
xtail,intransitive,good_to_bad,resid_post_layer_21,22,9,3.194444417953491,3.2499999735090466,1.0355355355355356,-1.472222195731269,1.7222222222222223,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_22,23,9,3.194444417953491,3.2499999735090466,1.0355355355355356,-1.472222195731269,1.7222222222222223,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_18,19,9,3.201388862397936,3.2430555290646024,0.9815596223003631,-1.472222195731269,1.7291666401757135,1.7361110581292047
