control,seed,regime,subtask,clean_source_zipf_regime,clean_inventory_source,n,mean_corrupt_metric,mean_patched_metric,mean_clean_metric,mean_effect,effect_ci95_lo,effect_ci95_hi,mean_normalized_effect,patched_success_rate
none,17,low,causative,xtail,supplemental_v2_bad_verbs,43,-4.26017442137696,10.259447663329368,1.2311046511627908,14.519622093023257,13.15625,15.747093023255815,2.8697001893885425,1.0
none,17,low,inchoative,low_gap,freqblimp_curated,20,-4.320312488079071,4.318749988079071,-0.928125,8.6390625,6.8875,10.515625,2.5310847676228563,0.9
none,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,1.1300000047683716,11.228125,4.883749980926513,10.098125,8.575,11.586875,2.394741356669103,1.0
none,17,low,inchoative,tail,freqblimp_curated,240,-4.310937489072482,3.861197918156783,-1.3257812534769375,8.172135418653488,7.582421874006589,8.78789062599341,2.3654847430959918,0.8666666666666667
none,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,1.3403777029874513,11.010285524155597,4.619379490399532,9.669907824598628,8.803001348063242,10.52725943901556,2.6230091641101723,0.9856115107913669
none,17,low,inchoative,xtail,freqblimp_curated,20,-4.459374940395355,5.3796875,-1.096875,9.8390625,8.4484375,11.2609375,3.458137937750473,1.0
none,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,1.2424568965517242,9.728448290249396,3.845096959122296,8.485991388559341,7.568561420358461,9.362068984015234,2.974374539224334,0.9913793103448276
random_direction,17,head,causative,head,freqblimp_curated,196,-2.5982142808486004,-2.6044324003920263,2.5982142808486004,-0.0062181195434258905,-0.017059958710962414,0.004304850588039476,-0.00904009193944646,0.16326530612244897
random_direction,17,head,inchoative,head,freqblimp_curated,67,-4.5830223845012155,-4.566697771869489,-0.7747201207858413,0.01632461263172662,0.006893375340630026,0.02619483190424302,0.0015687530342961623,0.1044776119402985
random_direction,17,head,inchoative,head,supplemental_v2_bad_verbs,49,1.9464285325030892,1.9661989795918366,5.379464280848601,0.01977044708874761,0.009566341127668108,0.0312500389254823,0.004966117104551136,0.8775510204081632
random_direction,17,low,causative,low_gap,freqblimp_curated,20,-0.2125,-0.209375,4.878124988079071,0.003125,-0.021875011920928954,0.02812495231628418,0.0008924536764298323,0.45
random_direction,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,-4.603422596341088,-4.573660714285714,-1.1860119274684362,0.029761882055373418,0.018601173446291967,0.04241068590255011,0.014775269437813201,0.047619047619047616
random_direction,17,low,causative,tail,freqblimp_curated,276,-1.2838541692581729,-1.284759963768116,4.113224645887596,-0.0009057945099429808,-0.008042279411764705,0.006158762604650789,-0.0025049587161071253,0.27898550724637683
random_direction,17,low,causative,tail,supplemental_v2_bad_verbs,159,-4.301100640176977,-4.304638366279362,0.9500786178516891,-0.003537726102385131,-0.011989003457363296,0.004913525761298413,0.0014682676540402895,0.050314465408805034
random_direction,17,low,causative,xtail,freqblimp_curated,20,-1.793749988079071,-1.7937500119209289,3.3937500059604644,-2.384185791015625e-08,-0.021875011920928954,0.021875011920928954,-0.002262698318752622,0.1
random_direction,17,low,causative,xtail,supplemental_v2_bad_verbs,43,-4.26017442137696,-4.284883726474851,1.2311046511627908,-0.024709305097890454,-0.04215112952298896,-0.00872093023255814,-0.005511362714879853,0.046511627906976744
random_direction,17,low,inchoative,low_gap,freqblimp_curated,20,-4.320312488079071,-4.323437517881393,-0.928125,-0.003125029802322388,-0.017187535762786865,0.01093747615814209,-0.0009860992524355302,0.0
random_direction,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,1.1300000047683716,1.15,4.883749980926513,0.019999995231628417,0.00749997615814209,0.03500001430511475,0.008520724970459524,0.76
random_direction,17,low,inchoative,tail,freqblimp_curated,240,-4.310937489072482,-4.3045572926600775,-1.3257812534769375,0.006380196412404378,0.0015624662240346272,0.011328104635079701,0.000606164778287899,0.0
random_direction,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,1.3403777029874513,1.345323738434332,4.619379490399532,0.004946035446880533,-0.0008992805755395684,0.011690638048185719,0.004490698426185736,0.7769784172661871
random_direction,17,low,inchoative,xtail,freqblimp_curated,20,-4.459374940395355,-4.45625,-1.096875,0.0031249403953552248,-0.0062500834465026855,0.015624904632568359,0.0008044004152090046,0.0
random_direction,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,1.2424568965517242,1.249999992806336,3.845096959122296,0.007543096254611838,-4.110665156923491e-09,0.01616378693745054,0.0060823846508108684,0.7413793103448276
red_blue,17,head,causative,head,freqblimp_curated,196,0.609594211286428,0.6026586586115311,0.609594211286428,-0.006935552674896863,-0.012256804777651417,-0.0017139473739935427,nan,0.6887755102040817
red_blue,17,head,inchoative,head,freqblimp_curated,67,0.6513526119402985,0.5785914179104478,0.6455223880597015,-0.07276119402985075,-0.11763392857142857,-0.027825342465753425,nan,0.6865671641791045
red_blue,17,head,inchoative,head,supplemental_v2_bad_verbs,49,0.7264030612244898,0.8437500097313706,0.734375,0.11734694850688078,0.05516583578927176,0.17984698743236308,nan,0.7551020408163265
red_blue,17,low,causative,low_gap,freqblimp_curated,20,0.544921875,0.64375,1.9390625,0.098828125,0.040625,0.159375,nan,0.8
red_blue,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,0.9962797505514962,0.839285691579183,1.3415178571428572,-0.15699405897231328,-0.1878720238095238,-0.11867559523809523,nan,0.8095238095238095
red_blue,17,low,causative,tail,freqblimp_curated,276,0.8591131611146788,0.9792728182198345,0.8876245436461075,0.12015965710515561,0.09977680104119437,0.14027256535408192,nan,0.822463768115942
