lemma,delta_p_object,behavior_status,mean_p_object_t_plus,mean_p_object_t_minus,delta_coord_calibrated,projection_status,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_raw,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
vomom,0.9236108809709549,moves,0.989123523235321,0.06551264226436615,7.773356676101685,aligns,8.968749046325684,1.195392370223999,-7.773356676101685,2,"['Ġvom', 'om']",student,animate
vomum,0.8114206939935684,moves,0.9977388978004456,0.18631820380687714,9.17064380645752,aligns,14.339533805847168,5.168889999389648,-9.17064380645752,2,"['Ġvom', 'um']",driver,animate
vonen,0.626638799905777,moves,0.9986159205436707,0.3719771206378937,7.268909931182861,aligns,10.332646369934082,3.0637364387512207,-7.268909931182861,2,"['Ġvon', 'en']",student,animate
vonop,0.7220762670040131,moves,0.9964063763618469,0.27433010935783386,9.39556336402893,aligns,11.135370254516602,1.739806890487671,-9.39556336402893,2,"['Ġvon', 'op']",shirt,inanimate
voocket,0.876951776444912,moves,0.9958831071853638,0.11893133074045181,8.197359085083008,aligns,11.909332275390625,3.711973190307617,-8.197359085083008,2,"['Ġvo', 'ocket']",chef,animate
voockip,0.8120339214801788,moves,0.9830114841461182,0.17097756266593933,8.61681866645813,aligns,6.85054349899292,-1.76627516746521,-8.61681866645813,3,"['Ġvo', 'ock', 'ip']",driver,animate
voockle,0.9523193435743451,moves,0.9637615084648132,0.01144216489046812,18.75615406036377,aligns,11.583794593811035,-7.172359466552734,-18.75615406036377,3,"['Ġvo', 'ock', 'le']",paper,inanimate
voockum,0.5224911570549011,moves,0.9916464686393738,0.46915531158447266,4.118834733963013,aligns,6.563283443450928,2.444448709487915,-4.118834733963013,3,"['Ġvo', 'ock', 'um']",chef,animate
votup,0.6845885515213013,moves,0.998852014541626,0.3142634630203247,8.780133247375488,aligns,12.230310440063477,3.4501771926879883,-8.780133247375488,2,"['Ġvot', 'up']",chef,animate
voxev,0.7386297285556793,moves,0.9801029562950134,0.2414732277393341,3.689177989959717,aligns,5.8710150718688965,2.1818370819091797,-3.689177989959717,2,"['Ġvox', 'ev']",student,animate
zeble,0.9414224550127983,moves,0.9976109862327576,0.05618853121995926,16.589627504348755,aligns,13.306381225585938,-3.2832462787628174,-16.589627504348755,2,"['Ġze', 'ble']",driver,animate
zezet,0.8686134293675423,moves,0.9840759038925171,0.11546247452497482,5.902276992797852,aligns,8.674184799194336,2.7719078063964844,-5.902276992797852,2,"['Ġze', 'zet']",box,inanimate
zumum,0.9107978977262974,moves,0.971696138381958,0.06089824065566063,8.54712963104248,aligns,4.4916181564331055,-4.055511474609375,-8.54712963104248,2,"['Ġzum', 'um']",student,animate
zuven,0.8913334663957357,moves,0.9136046171188354,0.02227115072309971,13.070569038391113,aligns,9.66808032989502,-3.4024887084960938,-13.070569038391113,2,"['Ġzu', 'ven']",shirt,inanimate
