lemma,n_t_plus,n_t_minus,mean_p_object_t_plus,mean_p_object_t_minus,delta_p_object,mean_raw_object_t_plus,mean_raw_object_t_minus,mean_period_t_plus,mean_period_t_minus,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
vefet,1,1,0.9979574680328369,0.5623710751533508,0.4355863928794861,0.9245002865791321,0.3515969514846802,0.0018922219751402736,0.2736075818538666,2,"['Ġve', 'fet']",driver,animate
veket,1,1,0.9850538372993469,0.12298153340816498,0.862072303891182,0.37117594480514526,0.0067616840824484825,0.005631838459521532,0.04821961000561714,2,"['Ġve', 'ket']",box,inanimate
vezev,1,1,0.9545027613639832,0.32196953892707825,0.6325332224369049,0.03265389800071716,0.0003149577241856605,0.0015564790228381753,0.0006632644217461348,2,"['Ġvez', 'ev']",student,animate
vezop,1,1,0.9976412653923035,0.46800050139427185,0.5296407639980316,0.9148324131965637,0.28347617387771606,0.0021629533730447292,0.32224148511886597,2,"['Ġvez', 'op']",chef,animate
vidiv,1,1,0.8718851804733276,0.1565486341714859,0.7153365463018417,0.13865217566490173,0.03102707862854004,0.020373553037643433,0.16716742515563965,2,"['Ġvid', 'iv']",shirt,inanimate
viget,1,1,0.9848393797874451,0.024129686877131462,0.9607096929103136,0.911701500415802,0.017815150320529938,0.014034762047231197,0.7204931974411011,2,"['Ġvig', 'et']",shirt,inanimate
vilom,1,1,0.9951879382133484,0.31273892521858215,0.6824490129947662,0.8795876502990723,0.19654563069343567,0.0042531187646090984,0.4319199323654175,2,"['Ġvil', 'om']",student,animate
vizop,1,1,0.9787271618843079,0.18279249966144562,0.7959346622228622,0.5444365739822388,0.06747594475746155,0.011833447962999344,0.3016636371612549,2,"['Ġviz', 'op']",box,inanimate
vomom,1,1,0.989123523235321,0.06551264226436615,0.9236108809709549,0.7760360836982727,0.046173930168151855,0.008533332496881485,0.6586354970932007,2,"['Ġvom', 'om']",student,animate
vomum,1,1,0.9977388978004456,0.18631820380687714,0.8114206939935684,0.9250158667564392,0.13282307982444763,0.002096266485750675,0.5800599455833435,2,"['Ġvom', 'um']",driver,animate
vonen,1,1,0.9986159205436707,0.3719771206378937,0.626638799905777,0.9433503746986389,0.20613007247447968,0.0013075127499178052,0.3480170965194702,2,"['Ġvon', 'en']",student,animate
vonop,1,1,0.9964063763618469,0.27433010935783386,0.7220762670040131,0.9270533919334412,0.13579857349395752,0.0033434955403208733,0.3592202663421631,2,"['Ġvon', 'op']",shirt,inanimate
voocket,1,1,0.9958831071853638,0.11893133074045181,0.876951776444912,0.9341825246810913,0.095663882791996,0.0038618426769971848,0.7086984515190125,2,"['Ġvo', 'ocket']",chef,animate
voockip,1,1,0.9830114841461182,0.17097756266593933,0.8120339214801788,0.20473763346672058,0.0032222261652350426,0.003538300981745124,0.015623674727976322,3,"['Ġvo', 'ock', 'ip']",driver,animate
voockle,1,1,0.9637615084648132,0.01144216489046812,0.9523193435743451,0.8845832943916321,0.008889731019735336,0.03326132521033287,0.7680376172065735,3,"['Ġvo', 'ock', 'le']",paper,inanimate
voockum,1,1,0.9916464686393738,0.46915531158447266,0.5224911570549011,0.5401351451873779,0.10935719311237335,0.0045500146225094795,0.12373659759759903,3,"['Ġvo', 'ock', 'um']",chef,animate
