regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
head,transitive,good_to_bad,resid_post_layer_14,15,19,3.4670538651315788,3.5662520559210527,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_12,13,19,3.3709395559210527,3.408254523026316,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_13,14,19,3.1558645148026314,3.368600945723684,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_17,18,19,2.4142166940789473,3.274002878289474,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_10,11,19,2.6753572162828947,2.7592644942434212,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_04,5,19,2.047414679276316,2.5984015213815788,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_11,12,19,2.4985223067434212,2.5689119037828947,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_09,10,19,2.4128803453947367,2.5255448190789473,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_05,6,19,2.1443513569078947,2.4913908305921053,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_07,8,19,2.039255242598684,2.3287289268092106,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_03,4,19,1.7100637335526316,2.3214946546052633,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_06,7,19,2.0060135690789473,2.3020662006578947,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_08,9,19,1.8451088353207237,2.0956292403371712,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_00,1,19,0.4603207236842105,1.9189967105263157,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_02,3,19,1.272852847450658,1.8479582134046053,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_01,2,19,0.8059531763980263,1.845118472450658,0.19078951132924934,5.516447268034282
head,transitive,good_to_bad,resid_embed,0,19,0.652086759868421,1.6871402138157894,0.19078951132924934,5.516447268034282
tail,transitive,bad_to_good,resid_post_layer_18,19,17,2.390018238740809,3.387555290670956,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_20,21,17,1.9711626838235294,3.2953814338235294,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_21,22,17,-0.023839613970588234,3.2922219669117645,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_17,18,17,2.2388556985294117,3.245059742647059,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_19,20,17,2.0499770220588234,3.2271369485294117,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_23,24,17,2.664104237275965,3.2164104686063877,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_16,17,17,2.311810661764706,3.141314338235294,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_22,23,17,1.4412913602941178,3.1032858455882355,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_15,16,17,1.6977036420036764,2.5079058478860294,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_14,15,17,1.7634564568014706,2.4488597196691178,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_13,14,17,1.2587316176470589,2.1001838235294117,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_12,13,17,1.0981732536764706,1.8941291360294117,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_11,12,17,1.3543198529411764,1.8738511029411764,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_10,11,17,1.0997242647058822,1.8736213235294117,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_06,7,17,1.4409466911764706,1.837545955882353,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_07,8,17,1.3286994485294117,1.7356387867647058,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_05,6,17,1.4432444852941178,1.6847426470588236,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_08,9,17,1.1801470588235294,1.6843979779411764,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_09,10,17,1.0093060661764706,1.6595818014705883,-4.430147030774285,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_04,5,17,1.4332275390625,1.5639720243566178,-4.430147030774285,-1.772058837554034
